PresOrder,RandSeq,ItemID,ItemType,ListID,ConditionID,Sentence,
1,1,Fill47,Fill,1,AdjunctIsland,For how many days in the summer did Dana speculate whether the mechanic had worked on fixing the broken engine?,
2,2,Targ20,Targ,1,D,The hard-working mother forgot which debilitating injuries the plan that provided at minimal cost for her medical insurance would cover during the next year.,
3,3,Targ17,Targ,1,C,The city mayor knew which unemployed workers the scheme that benefited promptly and fully from the economic upswing would help in the big town.,
4,4,Targ03,Targ,1,B,The oppressed minority learned which disagreements the effort to battle fiercely and relentlessly for civil rights would provoke in the future.,
5,5,Fill18,Fill,1,WhIsland,Who did Nathan mention whether they promoted during the war with Iraq?,
6,6,Fill16,Fill,1,GardenPath,While the babysitter calmed down the children that were tired and irratable sat on the bed.,
7,7,Fill02,Fill,1,GardenPath,While the skipper sailed the boat that was small and leaky veered off course.,
8,8,Fill46,Fill,1,AdjunctIsland,For how many hours did Morgan indicate whether the customer had got into an argument with her?,
9,9,Targ06,Targ,1,C,The teaching assistant knew which professor the request that asked in an email about the difficult assignment would bother shortly before the final exam.,
10,10,Targ05,Targ,1,A,The burly sergeant realized which troops the scheme to call without any delay for immediate action would endanger during the battle.,
11,11,Fill44,Fill,1,AdjunctIsland,For how many months did Zack report whether the guard had noticed some suspicious activity taking place?,
12,12,Fill13,Fill,1,GardenPath,While the mother undressed the baby that was bald and helpless cried softly.,
13,13,Fill05,Fill,1,GardenPath,While the orchestra performed the symphony that was short and simple played on the radio.,
14,14,Targ22,Targ,1,A,The departmental chairman remembered which organizing committee the idea to help in useful ways with the preparations would annoy at the annual convention.,
15,15,Fill35,Fill,1,AdjunctIsland,How many times a day did Jack know whether the sheriff had come to inquire about the burglary?,
16,16,Fill23,Fill,1,WhIsland,Who did Jason learn whether they examined very quickly at the clinic?,
17,17,Fill45,Fill,1,AdjunctIsland,For how many weeks did Kevin decide whether the employee could go to vacation in the Bahamas?,
18,18,Fill09,Fill,1,GardenPath,While the chimps groomed the baboons that were large and hairy sat on the grass.,
19,19,Targ13,Targ,1,B,The tour guide realized which inexperienced traveler the plan to coordinate in every detail with the airline schedule would confuse during the business trip.,
20,20,Fill30,Fill,1,WhIsland,Who did Vera indicate whether they retired after the previous hitter doubled?,
21,21,Fill20,Fill,1,WhIsland,Who did Sarah wonder whether they elected in spite of the scandal?,
22,22,Targ18,Targ,1,B,The school superintendent learned which high school students the proposal to expand drastically and innovatively upon the current curriculum would motivate during the following semester.,
23,23,Fill40,Fill,1,AdjunctIsland,What part of the academic quarter in total did Mark state whether his students had been reading through the novels he assigned?,
24,24,Targ07,Targ,1,D,The generous donor learned which major disagreement the plan that benefited to the fullest extent from his charity would resolve at the big university.,
25,25,Targ15,Targ,1,A,The isolated farmers learned which basic foods the scheme to prepare hurriedly and efficiently for the violent winter storm would require during the snowy season.,
26,26,Fill37,Fill,1,AdjunctIsland,How many hours did Stephen learn whether the representative had talked at the executive committee meeting?,
27,27,Fill34,Fill,1,AdjunctIsland,For how much of the day did Hilary understand whether the foreman would work before finally leaving for home?,
28,28,Targ01,Targ,1,B,The chief executive learned which skilled carpenters the idea to expand tastefully and creatively upon the farmous architect's design would employ during the next few months.,
29,29,Targ11,Targ,1,B,The liquor store owner realized which televised advertisements the campaign to caution strongly and emphatically against alcoholism would ban in the suburban town.,
30,30,Fill48,Fill,1,AdjunctIsland,For how many hours before daylight did Leslie perceive whether the lioness had moved without making a single sound?,
31,31,Fill33,Fill,1,AdjunctIsland,How many hours per night did Katherine find out whether the salesman had slept on account of his schedule?,
32,32,Fill17,Fill,1,WhIsland,Who did Kathy wonder whether they consulted at the hospital last night?,
33,33,Fill28,Fill,1,WhIsland,Who did Anna say whether they rejected at the meeting about admissions?,
34,34,Fill06,Fill,1,GardenPath,While the  secretary typed the memo that was clear and concise neared completion.,
35,35,Fill12,Fill,1,GardenPath,While the jockey settled down the horse that was sleek and brown stood in the stall.,
36,36,Fill07,Fill,1,GardenPath,While the farmer steered the tractor that was big and green pulled the plough.,
37,37,Targ04,Targ,1,C,The virtuous governor understood which first-time voters the campaign that warned with great force against drugs would influence during the election.,
38,38,Fill39,Fill,1,AdjunctIsland,For how many consecutive elections did Lily ascertain whether the Democrats had voted Republican while writing her dissertation?,
39,39,Fill31,Fill,1,WhIsland,Who did Matthew verify whether they evicted to satisfy the other residents?,
40,40,Fill29,Fill,1,WhIsland,Who did Oscar state whether they dispatched after the tragic murder yesterday?,
41,41,Fill08,Fill,1,GardenPath,While the lawyer studied the contract that was old and wrinkled lay on the roll-top desk.,
42,42,Fill14,Fill,1,GardenPath,While the nurse shaved the patient that was tired and weak watched TV.,
