WordPosition,Word,ListID,ParticipantID,ItemID,Sentence,RT,ConditionID
1,The,1,1,Targ20,The hard-working mother forgot which debilitating injuries the plan that provided at minimal cost for her medical insurance would cover during the next year.,375,D
2,hard-working,1,1,Targ20,The hard-working mother forgot which debilitating injuries the plan that provided at minimal cost for her medical insurance would cover during the next year.,643,D
3,mother,1,1,Targ20,The hard-working mother forgot which debilitating injuries the plan that provided at minimal cost for her medical insurance would cover during the next year.,459,D
4,forgot,1,1,Targ20,The hard-working mother forgot which debilitating injuries the plan that provided at minimal cost for her medical insurance would cover during the next year.,527,D
5,which,1,1,Targ20,The hard-working mother forgot which debilitating injuries the plan that provided at minimal cost for her medical insurance would cover during the next year.,474,D
6,debilitating,1,1,Targ20,The hard-working mother forgot which debilitating injuries the plan that provided at minimal cost for her medical insurance would cover during the next year.,717,D
7,injuries,1,1,Targ20,The hard-working mother forgot which debilitating injuries the plan that provided at minimal cost for her medical insurance would cover during the next year.,674,D
8,the,1,1,Targ20,The hard-working mother forgot which debilitating injuries the plan that provided at minimal cost for her medical insurance would cover during the next year.,499,D
9,plan,1,1,Targ20,The hard-working mother forgot which debilitating injuries the plan that provided at minimal cost for her medical insurance would cover during the next year.,366,D
10,that,1,1,Targ20,The hard-working mother forgot which debilitating injuries the plan that provided at minimal cost for her medical insurance would cover during the next year.,512,D
11,provided,1,1,Targ20,The hard-working mother forgot which debilitating injuries the plan that provided at minimal cost for her medical insurance would cover during the next year.,734,D
12,at,1,1,Targ20,The hard-working mother forgot which debilitating injuries the plan that provided at minimal cost for her medical insurance would cover during the next year.,410,D
13,minimal,1,1,Targ20,The hard-working mother forgot which debilitating injuries the plan that provided at minimal cost for her medical insurance would cover during the next year.,618,D
14,cost,1,1,Targ20,The hard-working mother forgot which debilitating injuries the plan that provided at minimal cost for her medical insurance would cover during the next year.,471,D
15,for,1,1,Targ20,The hard-working mother forgot which debilitating injuries the plan that provided at minimal cost for her medical insurance would cover during the next year.,464,D
16,her,1,1,Targ20,The hard-working mother forgot which debilitating injuries the plan that provided at minimal cost for her medical insurance would cover during the next year.,396,D
17,medical,1,1,Targ20,The hard-working mother forgot which debilitating injuries the plan that provided at minimal cost for her medical insurance would cover during the next year.,629,D
18,insurance,1,1,Targ20,The hard-working mother forgot which debilitating injuries the plan that provided at minimal cost for her medical insurance would cover during the next year.,470,D
19,would,1,1,Targ20,The hard-working mother forgot which debilitating injuries the plan that provided at minimal cost for her medical insurance would cover during the next year.,671,D
20,cover,1,1,Targ20,The hard-working mother forgot which debilitating injuries the plan that provided at minimal cost for her medical insurance would cover during the next year.,609,D
21,during,1,1,Targ20,The hard-working mother forgot which debilitating injuries the plan that provided at minimal cost for her medical insurance would cover during the next year.,345,D
22,the,1,1,Targ20,The hard-working mother forgot which debilitating injuries the plan that provided at minimal cost for her medical insurance would cover during the next year.,477,D
23,next,1,1,Targ20,The hard-working mother forgot which debilitating injuries the plan that provided at minimal cost for her medical insurance would cover during the next year.,503,D
24,year.,1,1,Targ20,The hard-working mother forgot which debilitating injuries the plan that provided at minimal cost for her medical insurance would cover during the next year.,455,D
1,The,1,1,Targ17,The city mayor knew which unemployed workers the scheme that benefited promptly and fully from the economic upswing would help in the big town.,462,C
2,city,1,1,Targ17,The city mayor knew which unemployed workers the scheme that benefited promptly and fully from the economic upswing would help in the big town.,519,C
3,mayor,1,1,Targ17,The city mayor knew which unemployed workers the scheme that benefited promptly and fully from the economic upswing would help in the big town.,439,C
4,knew,1,1,Targ17,The city mayor knew which unemployed workers the scheme that benefited promptly and fully from the economic upswing would help in the big town.,622,C
5,which,1,1,Targ17,The city mayor knew which unemployed workers the scheme that benefited promptly and fully from the economic upswing would help in the big town.,449,C
